Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,SW_SPST_TL3342,1,SW_BOOT0,
"C1, C8",0402,2,4.7uF,C23733
C10,0402,1,100nF,
"C2, C3, C7, C9",0402,4,100nF,C1525
"C4, C5, C6",0402,3,1uF,C52923
D1,SOT-143,1,PRTR5V0U2X,C2827688
"D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D112, D113, D114, D115, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D64, D65, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98",D_SOD-123,110,D_Small,
F1,1206,1,500mA,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SM04B-SRSS-TB,C160404
"MX1, MX10, MX101, MX103, MX105, MX107, MX108, MX109, MX11, MX110, MX111, MX112, MX113, MX114, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX56, MX57, MX58, MX59, MX6, MX60, MX61, MX62, MX63, MX66, MX67, MX68, MX69, MX7, MX70, MX71, MX72, MX73, MX74, MX75, MX76, MX77, MX78, MX79, MX8, MX80, MX81, MX82, MX83, MX84, MX85, MX86, MX87, MX88, MX89, MX9, MX90, MX91, MX92, MX93, MX94, MX95, MX96, MX97, MX98, MX99",SW_MX_1u,106,MX_SW_solder,
"MX100, MX102, MX104, MX106, MX42, MX55",SW_MX_1.5u,6,MX_SW_solder,
MX64,SW_MX_1.75u,1,MX_SW_solder,
MX65,SW_MX_1.75u_STP_1.25,1,MX_SW_solder,
NRST1,SW_SPST_TL3342,1,SW_NRST,
R1,0402,1,10k,
"S1, S4",STAB_MX_2.25u,2,MX_stab,
S2,STAB_MX_7u,1,MX_stab,
S3,STAB_MX_2.75u,1,MX_stab,
"S5, S6, S7, S8",STAB_MX_2u,4,MX_stab,
U1,SOT-23,1,XC6206P332MR,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
